Jogador;gols_totais;ass_totais;xG_totais;npxG_totais;xAG_totais;SCA_totais;GCA_totais;PrgP_totais;PrgC_totais;conducoes_totais;tent_drible_totais;suc_drible_totais;bloqueios_totais;amarelos_totais;vermelhos_totais;minutos_totais;G/90;A/90;xG/90;npxG/90;xAG/90;SCA/90;GCA/90;PrgP/90;PrgC/90;Conducoes/90;Tent/90;Suc/90;Bloq/90;Am/90;Vm/90;G+A;G+A/90;G-xG;xG+xAG;xG+xAG/90;Drible%
William;5;5;4.5;2.2;4.6;92.0;10.0;139.0;83.0;1202.0;85.0;36.0;52.0;8;0;2963.0;0.15187310158623019;0.15187310158623019;0.13668579142760715;0.06682416469794128;0.13972325345933173;2.7944650691866353;0.30374620317246037;4.222072224097198;2.521093486331421;36.51029362132974;2.5818427269659128;1.0934863314208572;1.5794802564967938;0.24299696253796826;0.0;10;0.30374620317246037;0.5;9.1;0.2764090448869389;0.4235294117647059
Kauã Elias;5;2;4.5;4.5;1.5;38.0;3.0;31.0;26.0;361.0;68.0;25.0;6.0;3;0;1388.0;0.324207492795389;0.12968299711815562;0.29178674351585016;0.29178674351585016;0.09726224783861673;2.4639769452449567;0.19452449567723346;2.010086455331412;1.6858789625360229;23.40778097982709;4.409221902017291;1.6210374639769454;0.3890489913544669;0.19452449567723346;0.0;7;0.4538904899135447;0.5;6.0;0.3890489913544669;0.36764705882352944
Clayson;5;1;2.7;2.7;1.1;55.0;8.0;77.0;54.0;589.0;78.0;24.0;27.0;6;0;2043.0;0.22026431718061673;0.04405286343612335;0.11894273127753305;0.11894273127753305;0.04845814977973569;2.4229074889867843;0.3524229074889868;3.3920704845814975;2.378854625550661;25.94713656387665;3.436123348017621;1.0572687224669604;1.1894273127753305;0.2643171806167401;0.0;6;0.2643171806167401;2.3;3.8000000000000003;0.16740088105726875;0.3076923076923077
Biel;5;4;4.5;4.5;3.4;44.0;5.0;41.0;37.0;306.0;35.0;13.0;6.0;1;0;904.0;0.497787610619469;0.39823008849557523;0.4480088495575221;0.4480088495575221;0.3384955752212389;4.380530973451328;0.497787610619469;4.081858407079646;3.683628318584071;30.464601769911507;3.4845132743362828;1.2942477876106195;0.5973451327433629;0.09955752212389381;0.0;9;0.8960176991150443;0.5;7.9;0.7865044247787611;0.37142857142857144
Jonathan Calleri;5;4;5.4;5.4;1.2;47.0;11.0;27.0;24.0;316.0;22.0;11.0;8.0;6;0;2047.0;0.21983390327308255;0.17586712261846604;0.23742061553492919;0.23742061553492919;0.05276013678553981;2.066438690766976;0.4836345872007816;1.1871030776746458;1.0552027357107963;13.893502686858817;0.9672691744015632;0.4836345872007816;0.3517342452369321;0.26380068392769906;0.0;9;0.3957010258915486;-0.40000000000000036;6.6000000000000005;0.29018075232046897;0.5
Tiquinho Soares;5;3;6.7;5.1;2.1;41.0;6.0;27.0;7.0;264.0;19.0;9.0;10.0;4;1;1349.0;0.3335804299481097;0.20014825796886582;0.44699777613046704;0.3402520385470719;0.14010378057820608;2.7353595255745;0.40029651593773163;1.8013343217197924;0.46701260192735355;17.613046701260192;1.267605633802817;0.6004447739065975;0.6671608598962194;0.26686434395848774;0.06671608598962193;8;0.5337286879169755;-1.7000000000000002;8.8;0.5871015567086731;0.47368421052631576
Wagner;5;0;4.3;3.5;0.5;33.0;0.0;103.0;23.0;1180.0;14.0;10.0;49.0;5;1;3156.0;0.14258555133079848;0.0;0.12262357414448669;0.09980988593155894;0.014258555133079847;0.9410646387832698;0.0;2.9372623574144483;0.655893536121673;33.650190114068444;0.39923954372623577;0.28517110266159695;1.397338403041825;0.14258555133079848;0.028517110266159693;5;0.14258555133079848;0.7000000000000002;4.8;0.13688212927756654;0.7142857142857143
Tomas Pochettino;5;6;2.9;2.0;4.5;83.0;10.0;89.0;57.0;532.0;41.0;20.0;27.0;3;0;1648.0;0.27305825242718446;0.3276699029126214;0.15837378640776698;0.10922330097087378;0.24575242718446602;4.532766990291262;0.5461165048543689;4.860436893203883;3.1128640776699026;29.05339805825243;2.2390776699029127;1.0922330097087378;1.4745145631067962;0.1638349514563107;0.0;11;0.6007281553398058;2.1;7.4;0.40412621359223305;0.4878048780487805
Igor;5;2;6.2;6.2;2.3;59.0;6.0;38.0;22.0;311.0;33.0;12.0;19.0;3;0;1361.0;0.33063923585598826;0.13225569434239529;0.4099926524614254;0.4099926524614254;0.15209404849375457;3.9015429831006614;0.3967670830271859;2.5128581925055107;1.4548126377663484;20.56576047024247;2.1822189566495225;0.7935341660543718;1.2564290962527553;0.19838354151359294;0.0;7;0.46289493019838357;-1.2000000000000002;8.5;0.56208670095518;0.36363636363636365
Giorgian De Arrascaeta;5;5;2.2;2.2;2.5;57.0;12.0;80.0;19.0;429.0;33.0;18.0;13.0;2;0;1007.0;0.4468718967229394;0.4468718967229394;0.19662363455809337;0.19662363455809337;0.2234359483614697;5.09433962264151;1.0724925521350546;7.149950347567031;1.6981132075471697;38.3416087388282;2.9493545183714;1.608738828202582;1.1618669314796426;0.17874875868917575;0.0;10;0.8937437934458788;2.8;4.7;0.4200595829195631;0.5454545454545454
Willian;5;1;4.0;4.0;1.3;67.0;9.0;102.0;11.0;696.0;20.0;4.0;35.0;8;0;2649.0;0.16987542468856173;0.03397508493771234;0.13590033975084936;0.13590033975084936;0.044167610419026046;2.276330690826727;0.3057757644394111;3.4654586636466593;0.3737259343148358;23.64665911664779;0.6795016987542469;0.13590033975084936;1.1891279728199322;0.2718006795016987;0.0;6;0.20385050962627407;1.0;5.3;0.18006795016987542;0.2
